Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-10-18 15:30,1.463,0.007,1,0,0,0,p
2018-10-18 15:36,1.453,0.013,1,0,0,0,p
2018-10-18 15:42,1.437,0.020,1,0,0,0,p
2018-10-18 15:48,1.430,0.013,0,0,0,0,p
2018-10-18 15:54,1.411,0.010,1,0,0,0,p
2018-10-18 16:00,1.414,0.010,1,0,0,0,p
2018-10-18 16:06,1.394,0.010,1,0,0,0,p
2018-10-18 16:12,1.388,0.010,1,0,0,0,p
2018-10-18 16:18,1.365,0.007,1,0,0,0,p
2018-10-18 16:24,1.368,0.007,1,0,0,0,p
